,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales,Efficiency,Drag_Coefficient,Tire_Rolling_Resistance
123,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,7,2021-09-16,2021-09-16,33,0.26,0.29,0.01
124,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2018-10-26,2018-10-26,128,0.35,0.31,0.01
125,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2018-05-03,2018-05-03,104,0.4,0.22,0.01
126,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2021-12-03,2021-12-03,26,0.21,0.25,0.01
127,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2023-03-05,2023-03-05,145,0.21,0.31,0.01
128,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-08-14,2021-08-14,90,0.26,0.31,0.01
129,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2016-04-13,2016-04-13,68,0.39,0.29,0.01
130,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2018-08-30,2018-08-30,138,0.23,0.22,0.01
131,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,Missing,2020-02-23,117,0.26,0.31,0.01
132,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2019-05-14,2019-05-14,117,0.23,0.27,0.01
133,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2016-10-17,2016-10-17,81,0.36,0.23,0.01
134,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,Missing,2017-06-12,18,0.34,0.26,0.01
135,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2019-06-30,2019-06-30,135,0.37,0.32,0.01
136,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,4,2016-07-25,2016-07-25,69,0.35,0.27,0.01
137,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2017-07-01,2017-07-01,20,0.37,0.32,0.01
138,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2015-07-11,2015-07-11,110,0.26,0.29,0.01
139,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2021-05-25,Missing,169,0.37,0.24,0.01
140,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2016-03-30,2016-03-30,82,0.36,0.34,0.01
141,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2022-09-23,2022-09-23,156,0.26,0.29,0.01
142,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,7,2017-05-14,2017-05-14,23,0.24,0.29,0.01
143,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2017-02-11,2017-02-11,97,0.37,0.24,0.01
144,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2016-10-14,2016-10-14,73,0.23,0.22,0.01
145,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-10-24,2019-10-24,105,0.26,0.29,0.01
146,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2016-10-15,2016-10-15,28,0.25,0.3,0.01
147,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2017-12-30,2017-12-30,107,0.24,0.29,0.01
148,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2021-01-15,2021-01-15,143,0.35,0.31,0.01
149,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-09-20,2022-09-20,134,0.37,0.24,0.01
150,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2023-01-04,2023-01-04,117,0.36,0.23,0.01
151,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-05-03,2019-05-03,187,0.26,0.29,0.01
152,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2015-03-04,2015-03-04,22,0.31,0.26,0.01
153,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2016-10-01,2016-10-01,24,0.23,0.27,0.01
154,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,7,2017-02-10,2017-02-10,68,0.25,0.3,0.01
155,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,4,2016-04-06,2016-04-06,96,0.35,0.25,0.01
156,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2015-07-26,Missing,55,0.33,0.26,0.01
157,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2016-07-22,2016-07-22,24,0.26,0.31,0.01
158,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2023-07-04,2023-07-04,127,0.25,0.3,0.01
159,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-07-29,2021-07-29,135,0.26,0.31,0.01
160,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2018-03-11,2018-03-11,110,0.35,0.31,0.01
161,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2022-03-21,2022-03-21,188,0.23,0.22,0.01
162,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-02-15,2023-02-15,29,0.24,0.29,0.01
163,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2023-06-22,2023-06-22,228,0.23,0.22,0.01
164,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,Missing,2016-01-13,15,0.26,0.35,0.01
165,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,2,2018-12-31,2018-12-31,108,0.33,0.26,0.01
166,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2018-02-12,2018-02-12,95,0.35,0.31,0.01
167,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-09-06,2023-09-06,120,0.26,0.29,0.01
168,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2022-01-30,2022-01-30,22,0.36,0.23,0.01
169,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2023-09-05,2023-09-05,194,0.21,0.25,0.01
170,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2019-03-14,2019-03-14,79,0.23,0.22,0.01
171,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2019-12-05,2019-12-05,26,0.36,0.34,0.01
172,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2022-06-13,2022-06-13,160,0.24,0.29,0.01
173,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2023-04-24,2023-04-24,129,0.29,0.29,0.01
174,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2020-11-08,2020-11-08,40,0.29,0.29,0.01
175,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2019-12-14,2019-12-14,92,0.21,0.31,0.01
176,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2023-03-21,2023-03-21,162,0.21,0.31,0.01
177,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2023-09-15,2023-09-15,92,0.37,0.24,0.01
178,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,7,2015-03-03,2015-03-03,76,0.33,0.26,0.01
179,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2023-08-16,2023-08-16,169,0.29,0.29,0.01
180,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,4,2023-07-15,2023-07-15,164,0.26,0.29,0.01
181,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2020-12-13,2020-12-13,104,0.36,0.22,0.01
182,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2021-09-14,2021-09-14,92,0.31,0.26,0.01
183,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2017-09-24,2017-09-24,16,0.25,0.3,0.01
184,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2022-07-17,2022-07-17,147,0.26,0.35,0.01
185,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2017-04-04,2017-04-04,26,0.34,0.26,0.01
186,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2022-05-17,2022-05-17,182,0.35,0.31,0.01
187,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2023-11-30,2023-11-30,48,0.23,0.27,0.01
188,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2023-04-21,2023-04-21,45,0.37,0.24,0.01
189,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2022-03-14,2022-03-14,69,0.25,0.3,0.01
190,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2015-12-22,2015-12-22,65,0.34,0.26,0.01
191,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,Missing,2019-06-27,92,0.31,0.26,0.01
192,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2017-08-03,2017-08-03,29,0.39,0.29,0.01
193,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2017-12-26,2017-12-26,29,0.23,0.22,0.01
194,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2018-04-01,2018-04-01,41,0.33,0.26,0.01
195,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2022-04-24,2022-04-24,135,0.36,0.34,0.01
196,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2017-01-30,2017-01-30,99,0.37,0.24,0.01
197,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,2,2021-09-16,2021-09-16,33,0.35,0.25,0.01
198,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2015-11-27,2015-11-27,27,0.26,0.35,0.01
199,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2015-10-20,2015-10-20,22,0.33,0.26,0.01
200,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2015-04-06,2015-04-06,87,0.37,0.31,0.01
201,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2016-02-19,2016-02-19,71,0.34,0.26,0.01
202,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2016-03-14,2016-03-14,11,0.23,0.22,0.01
