,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales
141,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,Missing,2017-06-12,18
142,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2019-06-30,2019-06-30,135
143,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,4,2016-07-25,2016-07-25,69
145,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2017-07-01,2017-07-01,20
146,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2015-07-11,2015-07-11,110
147,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2021-05-25,Missing,169
148,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2016-03-30,2016-03-30,82
149,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2022-09-23,2022-09-23,156
150,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,7,2017-05-14,2017-05-14,23
151,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2017-02-11,2017-02-11,97
152,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2016-10-14,2016-10-14,73
153,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-10-24,2019-10-24,105
154,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2016-10-15,2016-10-15,28
155,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2017-12-30,2017-12-30,107
156,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2021-01-15,2021-01-15,143
157,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-09-20,2022-09-20,134
158,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2023-01-04,2023-01-04,117
159,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-05-03,2019-05-03,187
160,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2015-03-04,2015-03-04,22
161,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2016-10-01,2016-10-01,24
162,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,7,2017-02-10,2017-02-10,68
163,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,4,2016-04-06,2016-04-06,96
164,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2015-07-26,Missing,55
165,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2016-07-22,2016-07-22,24
166,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2023-07-04,2023-07-04,127
167,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-07-29,2021-07-29,135
168,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2018-03-11,2018-03-11,110
169,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2022-03-21,2022-03-21,188
170,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-02-15,2023-02-15,29
171,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2023-06-22,2023-06-22,228
172,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,Missing,2016-01-13,15
173,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,2,2018-12-31,2018-12-31,108
174,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2018-02-12,2018-02-12,95
175,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-09-06,2023-09-06,120
176,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2022-01-30,2022-01-30,22
177,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2023-09-05,2023-09-05,194
178,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2019-03-14,2019-03-14,79
180,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2019-12-05,2019-12-05,26
181,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2022-06-13,2022-06-13,160
182,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2023-04-24,2023-04-24,129
183,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2020-11-08,2020-11-08,40
184,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2019-12-14,2019-12-14,92
185,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2023-03-21,2023-03-21,162
186,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2023-09-15,2023-09-15,92
187,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,7,2015-03-03,2015-03-03,76
188,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2023-08-16,2023-08-16,169
189,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,4,2023-07-15,2023-07-15,164
190,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2020-12-13,2020-12-13,104
191,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2021-09-14,2021-09-14,92
192,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2017-09-24,2017-09-24,16
193,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2022-07-17,2022-07-17,147
194,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2017-04-04,2017-04-04,26
195,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2022-05-17,2022-05-17,182
196,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2023-11-30,2023-11-30,48
197,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2023-04-21,2023-04-21,45
198,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2022-03-14,2022-03-14,69
199,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2015-12-22,2015-12-22,65
200,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,Missing,2019-06-27,92
201,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2017-08-03,2017-08-03,29
202,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2017-12-26,2017-12-26,29
203,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2018-04-01,2018-04-01,41
204,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2022-04-24,2022-04-24,135
205,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2017-01-30,2017-01-30,99
206,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,2,2021-09-16,2021-09-16,33
207,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2015-11-27,2015-11-27,27
208,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2015-10-20,2015-10-20,22
209,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2015-04-06,2015-04-06,87
210,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2016-02-19,2016-02-19,71
211,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2016-03-14,2016-03-14,11
212,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2022-12-11,2022-12-11,95
213,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2017-12-30,2017-12-30,73
214,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2015-11-06,2015-11-06,103
215,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2021-01-18,2021-01-18,172
216,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2018-06-08,2018-06-08,31
217,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2019-11-15,2019-11-15,93
218,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,4,2016-02-15,2016-02-15,96
219,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2015-10-26,2015-10-26,66
220,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,4,2018-01-15,2018-01-15,82
221,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2021-09-13,2021-09-13,114
222,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2016-05-25,2016-05-25,71
223,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,Missing,2022-07-28,148
224,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2020-03-21,2020-03-21,97
225,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2019-03-12,2019-03-12,42
226,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2016-06-20,2016-06-20,83
227,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,7,2022-03-13,2022-03-13,109
228,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,7,2022-01-06,2022-01-06,144
229,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2016-12-08,2016-12-08,116
230,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2023-12-19,2023-12-19,30
231,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2021-10-26,2021-10-26,111
232,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,7,2021-02-14,2021-02-14,126
233,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,4,2022-11-16,2022-11-16,37
234,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2018-11-20,2018-11-20,65
235,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2022-03-07,2022-03-07,174
236,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2023-02-15,2023-02-15,222
237,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2016-06-19,2016-06-19,65
238,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2023-06-12,2023-06-12,215
239,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2022-09-26,2022-09-26,138
240,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,4,2022-07-15,2022-07-15,150
241,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2018-10-26,2018-10-26,33
242,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2022-09-21,2022-09-21,42
243,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2020-11-26,2020-11-26,112
245,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-08-07,Missing,29
246,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,4,2016-05-15,2016-05-15,71
247,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2015-05-16,2015-05-16,60
248,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,4,2017-12-10,2017-12-10,94
249,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,2,2022-07-28,2022-07-28,126
250,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2015-12-30,2015-12-30,90
251,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2022-02-09,2022-02-09,102
252,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2015-03-22,2015-03-22,95
253,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2015-06-20,2015-06-20,13
254,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-10-16,2019-10-16,138
255,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2023-12-01,2023-12-01,137
256,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,2,2018-08-16,2018-08-16,102
258,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2016-11-19,2016-11-19,87
